Label,DEPTH,Plot,Rainfall,Interval,Sample_mass,SandMasswBag,Dryingbagmass,Drymasswbag,D_bagMasswSand,DrySandMass,TotalBagwSandMass,Date,Time,Datetime,Wmass,Dmass,Moist
1Q6,1,6,5,2,10.04,6.32,1.29,4.03,2.09,0.8,7.12,7/31/22,0:00:00,7/31/22 0:00,2.92,1.94,50.51546392
3Q10,3,10,5,7,7.5,4.19,1.32,3.62,1.62,0.3,4.49,8/1/22,6:00:00,8/1/22 6:00,3.01,2,50.5
3Q12,3,12,10,1,7.38,3.22,1.31,4.43,2.37,1.06,4.28,7/30/22,18:00:00,7/30/22 18:00,3.1,2.06,50.48543689
1Q6,1,6,5,6,8.75,4.21,1.28,4.76,2.66,1.38,5.59,8/1/22,0:00:00,8/1/22 0:00,3.16,2.1,50.47619048
3Q14,3,14,5,5,7.11,2.92,1.33,4.54,2.59,1.26,4.18,7/31/22,18:00:00,7/31/22 18:00,2.93,1.95,50.25641026
3Q10,3,10,5,3,8.94,4.14,1.33,5.1,3.04,1.71,5.85,7/31/22,6:00:00,7/31/22 6:00,3.09,2.06,50
3Q3,3,3,10,4,7.47,3.42,1.33,4.34,2.25,0.92,4.34,7/31/22,12:00:00,7/31/22 12:00,3.13,2.09,49.76076555
1Q8,1,8,10,1,6.71,2.96,1.32,4.07,2.05,0.73,3.69,7/30/22,18:00:00,7/30/22 18:00,3.02,2.02,49.5049505
1Q7,1,7,5,6,8.34,4.81,1.32,3.82,1.72,0.4,5.21,8/1/22,0:00:00,8/1/22 0:00,3.13,2.1,49.04761905
3Q4,3,4,10,2,9.55,5.88,1.27,3.89,1.74,0.47,6.35,7/31/22,0:00:00,7/31/22 0:00,3.2,2.15,48.8372093
1Q8,1,8,10,4,8.52,4.51,1.33,4.29,2.13,0.8,5.31,7/31/22,12:00:00,7/31/22 12:00,3.21,2.16,48.61111111
0Q3,0,3,10,1,4.51,2.16,1.29,3.34,1.3,0.01,2.17,7/30/22,18:00:00,7/30/22 18:00,2.34,2.04,14.70588235
0Q4,0,4,10,1,4.74,2.45,1.26,3.26,1.26,0,2.45,7/30/22,18:00:00,7/30/22 18:00,2.29,2,14.5
3Q7,3,7,5,2,8.95,5.75,1.3,3.54,1.54,0.24,5.99,7/31/22,0:00:00,7/31/22 0:00,2.96,2,48
3Q14,3,14,5,6,6.91,3.48,1.3,3.77,1.76,0.46,3.94,8/1/22,0:00:00,8/1/22 0:00,2.97,2.01,47.76119403
1Q6,1,6,5,4,9,5.49,1.32,3.82,1.7,0.38,5.87,7/31/22,12:00:00,7/31/22 12:00,3.13,2.12,47.64150943
3Q8,3,8,10,2,7.65,4.78,1.29,3.26,1.37,0.08,4.86,7/31/22,0:00:00,7/31/22 0:00,2.79,1.89,47.61904762
1Q4,1,4,10,6,9.9,6.09,1.33,4.06,1.77,0.44,6.53,8/1/22,0:00:00,8/1/22 0:00,3.37,2.29,47.16157205
1Q4,1,4,10,3,8.4,4.2,1.28,4.56,2.59,1.31,5.51,7/31/22,6:00:00,7/31/22 6:00,2.89,1.97,46.70050761
3Q14,3,14,5,4,8.32,4.21,1.31,4.45,2.37,1.06,5.27,7/31/22,12:00:00,7/31/22 12:00,3.05,2.08,46.63461538
1Q6,1,6,5,6,5.73,2.4,1.31,3.68,1.61,0.3,2.7,8/1/22,0:00:00,8/1/22 0:00,3.03,2.07,46.37681159
